類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
台北富邦商業銀行台中分行,AA00529,廣民里,臺中市西區廣民里柳川西路二段196號,"24.141729,120.674957",1,73,第一分局,
聯邦銀行 民權分行,AA00528,廣民里,臺中市西區廣民里民權路135號,"24.14194,120.674905",1,664,第一分局,
台中醫院,AA00389,廣民里,臺中市西區廣民里三民路一段199號,"24.140226,120.675711",1,700,第一分局,
台中醫院,AA00389,廣民里,臺中市西區廣民里三民路一段199號,"24.140225,120.675711",1,2996,第一分局,
台灣銀行,AA00675,平和里,臺中市西區民生里自由路一段140號,"24.136626,120.67897",1,416,第一分局,
國泰世華銀行,AA00458,平和里,臺中市西區平和里中華路一段35號,"24.14264,120.673672",1,1289,第一分局,
電影院,AA00493,平和里,臺中市西區平和里民生路125號,"24.141081,120.672715",1,4673,第一分局,
愛麗絲國際大飯店,AA00820,公民里,臺中市西區公民里柳川西路二段77號,"24.136838,120.66714",1,156,第一分局,
旅館,AA00748,公民里,臺中市西區公民里五權路1之23號,"24.138556,120.66546",1,632,第一分局,
三信商業銀行,AA00123,民生里,臺中市西區東昇里林森路99號,"24.137063,120.671058",1,320,第一分局,
兆豐國際商銀,AA00228,民生里,臺中市西區三民里三民路一段194號,"24.139286,120.676606",1,36,第一分局,
台中商業銀行,AA00645,民生里,臺中市西區民生里民權路87號,"24.137515,120.679992",1,84,第一分局,
合作金庫商業銀行新中分行,AA00670,民生里,臺中市西區民生里民權路91號,"24.138023,120.679329",1,774,第一分局,
第一商業銀行台中分行,AA00672,民生里,臺中市西區民生里自由路一段144號,"24.137141,120.67941",1,413,第一分局,
國泰世華銀行台中分行,AA00673,民生里,臺中市西區民生里自由路一段148號,"24.137309,120.679678",1,449,第一分局,
永豐銀行-台中分行,AA00635,民生里,臺中市西區民生里自由路一段101號,"24.137736,120.679288",1,218,第一分局,
臺中英才郵局,AC01156,?龍里,臺中市西區?龍里民生路200號,"24.144642,120.665856",1,64,第一分局,
台北富邦銀行 中港分行,AC00235,民龍里,臺中市西區民龍里臺灣大道二段218號,"24.152104,120.669096",1,2170,第一分局,
台北富邦銀行 中港分行,AC00269,民龍里,臺中市西區民龍里臺灣大道二段218號之1,"24.152104,120.669096",1,1186,第一分局,
勤美誠品綠園道,AC00989,民龍里,臺中市西區民龍里公益路68號,"24.151278,120.663866",1,7214,第一分局,
銀行,AC00986,民龍里,臺中市西區民龍里英才路459號,"24.149705,120.665459",1,188,第一分局,
兆豐證券股份有限公司,AC00715,大忠里,臺中市西區大忠里五權西路一段257號,"24.13982,120.65603",1,584,第一分局,
銀行,AC00459,安龍里,臺中市西區安龍里五權路230號,"24.143699,120.669754",1,338,第一分局,
銀行,AC00466,安龍里,臺中市西區安龍里五權路23號,"24.143944,120.669387",1,281,第一分局,
銀行,AC00467,安龍里,臺中市西區安龍里五權路24號,"24.143487,120.669569",1,413,第一分局,
郵局,AC00351,後龍里,臺中市西區後龍里民權路233巷8號,"24.14973,120.669094",1,69,第一分局,
中山醫學大學附設醫院護理之家,AC00027,後龍里,臺中市西區後龍里中山路501號,"24.147009,120.672178",1,56,第一分局,
中山醫學大學附設醫院中港院區,AC00012,後龍里,臺中市西區後龍里臺灣大道二段35號,"24.14834,120.672161",1,364,第一分局,
臺中中正路郵局,AC00068,後龍里,臺中市西區後龍里臺灣大道一段701號,"24.14712,120.673872",1,73,第一分局,
臺灣中小企業銀行忠明分行,AE01156,昇平里,臺中市西區昇平里忠明南路301號,"24.145883,120.657557",1,762,第一分局,
臺中市農會,AE01161,昇平里,臺中市西區昇平里向上路一段95號,"24.146574,120.663348",1,725,第一分局,
台中銀行 西台中分行,AE00859,公正里,臺中市西區公正里公益路367號,"24.150532,120.654165",1,814,第一分局,
銀行,AB00090,公園里,臺中市中區公園里成功路162號,"24.141204,120.682672",1,158,第一分局,
百貨商場,AE01449,忠明里,臺中市西區忠明里健行路1039號,"24.156376,120.663287",1,7336,第一分局,
WorldGym健身房,AE01420,忠明里,臺中市西區忠明里美村路一段22號B1,"24.154897,120.661447",1,300,第一分局,
金典綠園道,AE01449,忠明里,臺中市西區忠明里健行路1049號,"24.155767,120.663199",1,1600,第一分局,
廣三SOGO百貨,AE00067,忠明里,臺中市西區忠明里臺灣大道二段459號,"24.155266,120.661778",1,1500,第一分局,
花旗銀行中港分行,AE00572,忠誠里,臺中市西區忠誠里臺灣大道二段570號,"24.158283,120.658305",1,628,第一分局,
銀行,AE00459,忠誠里,臺中市西區忠誠里臺灣大道二段536號,"24.157285,120.660623",1,596,第一分局,
銀行,AE01286,忠誠里,臺中市西區忠誠里忠明南路42號,"24.155598,120.658402",1,361,第一分局,
上海商業儲蓄銀行 中港分行,AE01239,忠誠里,臺中市西區忠誠里臺灣大道二段489號,"24.156274,120.660124",1,1613,第一分局,
新光人壽保險,AE01237,忠誠里,臺中市西區忠誠里臺灣大道二段501號,"24.156234,120.65979",1,1317,第一分局,
忠明高中,AE00015,忠明里,臺中市西區忠明里博館路166號,"24.157858,120.663721",1,1094,第一分局,
中區區公所,AD00129,柳川里,臺中市中區柳川里成功路300號,"24.143929,120.679526",1,1193,第一分局,
光復國小,AD00398,柳川里,臺中市中區大墩里三民路二段148號,"24.143926,120.681721",1,1697,第一分局,
