類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
公寓,BC00322,錦洲里,臺中市北區進化路642巷12之2號,"24.1601744,120.6929332",1,40,第二分局,
公寓,BC00609,錦村里,臺中市北區自強一街27號,"24.1532033,120.6939926",1,40,第二分局,
大樓,BC00610,錦村里,臺中市北區自強街35巷14號,"24.1525713,120.6943561",1,50,第二分局,
大樓,BC00615,錦村里,臺中市北區自強一街14號,"24.1532264,120.6943738",1,140,第二分局,
大樓,BC00627,錦村里,臺中市北區自強街26巷19之1號,"24.1517636,120.695407",1,120,第二分局,
大樓,BC00644,錦村里,臺中市北區自強街41巷14號,"24.1535799,120.6946673",1,70,第二分局,
公寓,BC00638,錦村里,臺中市北區自強街63巷25弄1號,"24.1550163,120.6947328",1,20,第二分局,
公寓,BC00639,錦村里,臺中市北區自強街63巷25弄2號,"24.1550166,120.6946669",1,20,第二分局,
公寓,BC00640,錦村里,臺中市北區自強街63巷25弄5號,"24.1548504,120.694732",1,20,第二分局,
公寓,BC00641,錦村里,臺中市北區自強街63巷25弄6號,"24.1548104,120.6946366",1,20,第二分局,
大樓,BC00232,錦平里,臺中市北區 五權路352巷12之18號,"24.1523595,120.678538",1,180,第二分局,
大樓,BC00239,錦平里,臺中市北區中華路二段112巷6弄6之4號,"24.1517919,120.6807193",1,66,第二分局,
大樓,BC00245,錦平里,臺中市北區 五權路336號,"24.1522477,120.6783027",1,1000,第二分局,
大樓,BC00860,錦平里,臺中市北區中華路2段112之1號,"24.1518119,120.6799223",1,258,第二分局,
公寓,BC00202,錦平里,臺中市北區中華路二段179之3號,"24.1511029,120.6793744",1,20,第二分局,
公寓,BC00203,錦平里,臺中市北區中華路二段179之4號,"24.1511029,120.6793744",1,20,第二分局,
公寓,BC00204,錦平里,臺中市北區中華路二段179之5號,"24.1511029,120.6793744",1,20,第二分局,
大樓,BD00018,賴興里,臺中市北區青島西街313號,"24.1724043,120.6709489",2,550,第二分局,
大樓,BD00019,賴興里,臺中市北區青島西街312號,"24.1724152,120.6709181",1,393,第二分局,
大樓,BD00020,賴興里,臺中市北區青島西314號,"24.1716989,120.6710008",1,393,第二分局,
大樓,BD00024,賴興里,臺中市北區天津路二段139號,"24.1701438,120.6751243",2,1121,第二分局,
大樓,BD00026,賴興里,臺中市北區山西路二段116號,"24.1703769,120.6737173",1,182,第二分局,
大樓,BD00073,賴興里,臺中市北區北平路四段261號,"24.1702749,120.6845443",1,113,第二分局,
公寓,BD00278,賴興里,臺中市北區北平路二段13911號,"24.1714569,120.6736959",1,40,第二分局,
公寓,BD00291,賴興里,臺中市北區北平路99巷22號,"24.1720071,120.6744208",1,34,第二分局,
公寓,BD00351,賴興里,臺中市北區北平路二段100號,"24.1713815,120.6732778",1,26,第二分局,
公寓,BD00458,賴興里,臺中市北區青島路一段100巷8號,"24.1715538,120.6722133",1,29,第二分局,
大樓,BE00092,賴福里,臺中市北區進化北路3922號,"24.1633815,120.6751312",2,522,第二分局,
大樓,BA00051,賴福里,臺中市北區衛道六街42號,"24.1645703,120.6779644",1,526,第二分局,
大樓,BA00052,賴福里,臺中市北區進化北路396巷1號,"24.1633454,120.6749263",2,506,第二分局,
大樓,BE00094,賴福里,臺中市北區太原路二段88-3號,"24.165098,120.676402",1,4476,第二分局,
大樓,BA00048,賴厝里,臺中市北區進化北路3922號,"24.1633766,120.6751312",2,522,第二分局,
大樓,BA00050,賴厝里,臺中市北區太原路二段56巷17號,"24.1650174,120.6739021",1,490,第二分局,
大樓,BA00098,賴厝里,臺中市北區文昌東一街69號,"24.170268,120.6748743",1,86,第二分局,
公寓,BE00095,賴厝里,臺中市北區鄰永興街335巷7號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BE00096,賴厝里,臺中市北區鄰永興街335巷9號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BE00097,賴厝里,臺中市北區鄰永興街335巷1號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BE00098,賴厝里,臺中市北區永興街335巷3號,"24.1673682,120.6804292",1,29,第二分局,
公寓,BA00244,賴厝里,臺中市北區永興街335巷5號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BA00271,賴厝里,臺中市北區永興街3331號,"24.166921,120.6803837",1,26,第二分局,
公寓,BE00099,賴厝里,臺中市北區青島路二段1254號,"24.1686409,120.6742189",1,46,第二分局,
公寓,BA00314,賴厝里,臺中市北區永興街253巷16號,"24.164964,120.6801586",1,29,第二分局,
公寓,BA00315,賴厝里,臺中市北區永興街253巷22號,"24.164964,120.6801586",1,29,第二分局,
公寓,BA00316,賴厝里,臺中市北區永興街285巷16號,"24.165623,120.6800417",1,29,第二分局,
公寓,BA00317,賴厝里,臺中市北區永興街285巷6號,"24.165623,120.6800417",1,29,第二分局,
公寓,BA00318,賴厝里,臺中市北區永興街253巷12弄11號,"24.164964,120.6801586",1,29,第二分局,
公寓,BA00319,賴厝里,臺中市北區永興街253巷9號,"24.164964,120.6801586",1,29,第二分局,
公寓,BE00100,賴厝里,臺中市北區山西路一段13巷巷16弄13號,"24.1642289,120.6730026",1,28,第二分局,
公寓,BA00247,賴厝里,臺中市北區永興街335巷52號,"24.1673682,120.6804292",1,26,第二分局,
公寓,BA00426,賴厝里,臺中市北區永興街335巷50號,"24.1673682,120.6804292",1,26,第二分局,
公寓,BA00427,賴厝里,臺中市北區永興街335巷48號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BA00428,賴厝里,臺中市北區永興街335巷46號,"24.1673682,120.6804292",1,28,第二分局,
公寓,BA00429,賴厝里,臺中市北區永興街355巷87號,"24.1673682,120.6804292",1,24,第二分局,
公寓,BA00430,賴厝里,臺中市北區永興街355巷85號,"24.1673682,120.6804292",1,24,第二分局,
公寓,BA00432,賴厝里,臺中市北區永興街355巷89號,"24.1673682,120.6804292",1,24,第二分局,
公寓,BA00433,賴厝里,臺中市北區永興街355巷91號,"24.1673682,120.6804292",1,24,第二分局,
公寓,BA00434,賴厝里,臺中市北區永興街335巷179-1號,"24.1673682,120.6804292",1,21,第二分局,
公寓,BA00526,賴厝里,臺中市北區青島路二段125巷17弄111號,"24.1687219,120.6755226",1,26,第二分局,
公寓,BA00527,賴厝里,臺中市北區青島路二段125巷17弄115號,"24.1687219,120.6755226",1,28,第二分局,
公寓,BA00528,賴厝里,臺中市北區青島路二段125巷17弄119號,"24.1687219,120.6755226",1,26,第二分局,
公寓,BA00533,賴厝里,臺中市北區青島路二段125巷17弄2號,"24.1687219,120.6755226",1,26,第二分局,
公寓,BA00536,賴厝里,臺中市北區青島路二段125巷17弄1號,"24.1687219,120.6755226",1,26,第二分局,
公寓,BA00599,賴厝里,臺中市北區永興街285巷19號,"24.1631276,120.6801758",1,26,第二分局,
大樓,BE00101,賴厝里,臺中市北區育德路126巷81號,"24.1575223,120.673234",2,2564,第二分局,
大樓,BA01087,賴厝里,臺中市北區東漢街9號,"24.1661894,120.6771011",1,2273,第二分局,
大樓,BA00090,賴厝里,臺中市北區青島路一段852號,"24.1715489,120.6722133",1,52,第二分局,
公寓,BE00102,賴厝里,臺中市北區天津路一段196巷35號,"24.169995,120.6690608",1,30,第二分局,
公寓,BA00069,賴厝里,臺中市北區青島一街23號,"24.1731359,120.6712401",1,26,第二分局,
公寓,BA00081,賴厝里,臺中市北區北平路二段99巷24號,"24.171452,120.6736959",1,33,第二分局,
公寓,BA00082,賴厝里,臺中市北區北平路二段99巷22號,"24.171452,120.6736959",1,34,第二分局,
大樓,BA00228,賴厝里,臺中市北區太原北路300巷24號,"24.1651506,120.6670337",1,696.6,第二分局,
公寓,BA00179,賴厝里,臺中市北區青島路一段87-5號,"24.1704229,120.6722788",1,21,第二分局,
大樓,BA00198,賴厝里,臺中市北區青島路一段429號,"24.169217,120.6722153",1,437,第二分局,
公寓,BA00222,賴厝里,臺中市北區漢口路三段239巷13弄23號,"24.1668379,120.6670589",1,38,第二分局,
大樓,BA00297,賴厝里,臺中市北區太原北路300巷24號,"24.1651506,120.6670337",1,348,第二分局,
大樓,BA00229,賴厝里,臺中市北區太原北路300巷22號,"24.1651506,120.6670337",1,348,第二分局,
公寓,BA00267,賴厝里,臺中市北區山西路二段225巷1號,"24.1755973,120.6743644",1,17,第二分局,
大樓,BA00269,賴厝里,臺中市北區北平路二段110巷39號,"24.171452,120.6736959",1,173,第二分局,
大樓,BA00295,賴厝里,臺中市北區漢口路55巷10弄41號,"24.1673444,120.6653175",1,97,第二分局,
公寓,BA00296,賴厝里,臺中市北區漢口路三段239巷13弄28號,"24.1668379,120.6670589",1,33,第二分局,
公寓,BE00103,賴厝里,臺中市北區天津路一段7號,"24.170193,120.6708143",1,28,第二分局,
公寓,BA00366,賴厝里,臺中市北區北平路二段100巷2號,"24.1713766,120.6732778",1,26,第二分局,
公寓,BA00368,賴厝里,臺中市北區北平路二段100巷8號,"24.1713766,120.6732778",1,28,第二分局,
公寓,BA00370,賴厝里,臺中市北區北平路二段100巷4號,"24.1713766,120.6732778",1,28,第二分局,
公寓,BA00396,賴厝里,臺中市北區武昌路一段600巷10號,"24.1687548,120.6672881",1,26,第二分局,
公寓,BA00395,賴厝里,臺中市北區武昌路一段600巷12號,"24.1687548,120.6672881",1,26,第二分局,
公寓,BA00449,賴厝里,臺中市北區山西路二段20022號,"24.1756173,120.6718408",1,26,第二分局,
公寓,BA00522,賴厝里,臺中市北區華美街二段334巷6號,"24.1729282,120.667141",1,26,第二分局,
公寓,BA00523,賴厝里,臺中市北區華美街二段334巷5號,"24.1729282,120.667141",1,26,第二分局,
公寓,BA00094,賴厝里,臺中市北區天津路二段125號,"24.1701355,120.6740125",1,30,第二分局,
大樓,BD00217,賴明里,臺中市北區中清路一段726巷17號,"24.169236,120.6714453",1,2039,第二分局,
公寓,BD00419,賴明里,臺中市北區青島路一段400巷1號,"24.1693414,120.6721001",1,26,第二分局,
公寓,BD00419,賴明里,臺中市北區青島路一段400巷1號,"24.1693414,120.6721001",1,26,第二分局,
公寓,BD00421,賴明里,臺中市北區青島路一段400巷5號,"24.1693414,120.6721001",1,28,第二分局,
公寓,BD00422,賴明里,臺中市北區青島路一段400巷9號,"24.1693414,120.6721001",1,26,第二分局,
公寓,BD00423,賴明里,臺中市北區青島路一段406巷2號,"24.1693144,120.6717017",1,29,第二分局,
公寓,BD00117,賴旺里,臺中市北區青島路27號,"24.172129,120.6722213",1,26,第二分局,
公寓,BD00148,賴旺里,臺中市北區青島一街1號,"24.172941,120.6708023",1,38,第二分局,
大樓,BD00151,賴旺里,臺中市北區青島西街7號,"24.1732058,120.6707405",1,177,第二分局,
大樓,BD00169,賴旺里,臺中市北區北平路一段29號,"24.1732058,120.6707405",2,570,第二分局,
公寓,BD00246,賴旺里,臺中市北區北平路一段25-1號,"24.1717692,120.6655953",1,26,第二分局,
公寓,BD00249,賴旺里,臺中市北區北平路二段25-4號,"24.1717821,120.6709021",1,26,第二分局,
大樓,BD00255,賴旺里,臺中市北區北平路二段27巷3-1號,"24.1718179,120.6709649",1,53,第二分局,
大樓,BD00256,賴旺里,臺中市北區北平路二段27巷51號,"24.1718179,120.6709649",1,433,第二分局,
大樓,BD00257,賴旺里,臺中市北區北平路二段27巷13號,"24.1718179,120.6709649",1,74,第二分局,
大樓,BD00258,賴旺里,臺中市北區北平路二段30巷21號,"24.1708887,120.6708289",1,232,第二分局,
公寓,BD00265,賴旺里,臺中市北區青島路一段14巷巷16號,"24.1729565,120.6718868",1,22,第二分局,
公寓,BD00266,賴旺里,臺中市北區青島路一段14巷巷46號,"24.1729565,120.6718868",1,26,第二分局,
公寓,BD00428,賴旺里,臺中市北區北平路二段30巷1號,"24.1713335,120.6705958",1,28,第二分局,
公寓,BD00583,賴旺里,臺中市北區北平路二段7號,"24.17212,120.6700253",1,28,第二分局,
公寓,BD00545,賴旺里,臺中市北區北平路二段27巷2號,"24.1711272,120.6767484",1,26,第二分局,
大樓,BD00546,賴旺里,臺中市北區北平路二段48巷38號,"24.1715761,120.6709276",1,94,第二分局,
大樓,BD00547,賴旺里,臺中市北區北平路二段48巷36號,"24.1715761,120.6709276",1,94,第二分局,
大樓,BD00549,賴旺里,臺中市北區北平路二段48巷28號,"24.1715761,120.6709276",1,93,第二分局,
大樓,BD00550,賴旺里,臺中市北區北平路二段48巷26號,"24.1715761,120.6709276",1,66,第二分局,
大樓,BD00551,賴旺里,臺中市北區北平路二段48巷24號,"24.1715761,120.6709276",1,93,第二分局,
大樓,BD00552,賴旺里,臺中市北區北平路二段48巷40號,"24.1715761,120.6709276",1,93,第二分局,
大樓,BD00553,賴旺里,臺中市北區北平路二段48巷30號,"24.1715761,120.6709276",1,93,第二分局,
大樓,BD00554,賴旺里,臺中市北區北平路二段48巷34號,"24.1715761,120.6709276",1,93,第二分局,
大樓,BD00562,賴旺里,臺中市北區北平路二段48巷32號,"24.1715761,120.6709276",1,94,第二分局,
公寓,BD00564,賴旺里,臺中市北區北平路二段27巷4號,"24.1718179,120.6709649",1,28,第二分局,
公寓,BD00565,賴旺里,臺中市北區北平路二段27巷8號,"24.1718179,120.6709649",1,26,第二分局,
大樓,BD00568,賴旺里,臺中市北區北平路二段27巷25號,"24.1718179,120.6709649",1,265,第二分局,
公寓,BD00577,賴旺里,臺中市北區北平路二段27巷19號,"24.1718179,120.6709649",1,26,第二分局,
大樓,BD00624,賴旺里,臺中市北區文心路四段176號,"24.1736128,120.6722772",2,2264,第二分局,
大樓,BE00104,賴旺里,臺中市北區中清路一段880巷23號,"24.173799,120.673238",1,454,第二分局,
公寓,BA00482,賴村里,臺中市北區大德街19巷3弄13號,"24.160392,120.676395",1,28,第二分局,
公寓,BA00483,賴村里,臺中市北區大德街19巷3弄15號,"24.160392,120.676395",1,28,第二分局,
公寓,BA00484,賴村里,臺中市北區大德街19巷3弄17號,"24.160392,120.676395",1,26,第二分局,
公寓,BA00485,賴村里,臺中市北區大德街19巷3弄19號,"24.160392,120.676395",1,26,第二分局,
公寓,BA00480,賴村里,臺中市北區大德街19巷3弄11號,"24.160392,120.676395",1,28,第二分局,
公寓,BA00551,賴村里,臺中市北區賴村東巷13之4號,"24.1611768,120.673403",1,28,第二分局,
公寓,BA00552,賴村里,臺中市北區賴村東巷13之3號,"24.1611768,120.673403",1,26,第二分局,
公寓,BA00608,賴村里,臺中市北區衛道路308巷10號,"24.1628128,120.6755465",1,29,第二分局,
公寓,BA00609,賴村里,臺中市北區大德街1194號,"24.160392,120.676395",1,29,第二分局,
大樓,BA01084,賴村里,臺中市北區大德街號,"24.160392,120.676395",1,298,第二分局,
大樓,BA01095,賴村里,臺中市北區學士路2751,"24.1579334,120.678841",1,2745,第二分局,
大樓,BC00100,新興里,臺中市北區太平路19巷3弄1之3號,"24.1469908,120.6830163",1,108,第二分局,
公寓,BC00131,新興里,臺中市北區三民路三段89巷32號,"24.147407,120.6800881",1,21,第二分局,
公寓,BC00132,新興里,臺中市北區三民路三段89巷34號,"24.1474123,120.6800468",1,21,第二分局,
公寓,BC00133,新興里,臺中市北區三民路三段89巷36號,"24.147323,120.6800569",1,21,第二分局,
公寓,BC00134,新興里,臺中市北區三民路三段89巷38號,"24.147323,120.6800569",1,21,第二分局,
大樓,BC00791,新北里,臺中市北區雙十路二段21巷12之1號,"24.1523736,120.6864871",1,50,第二分局,
大樓,BC00861,新北里,臺中市北區雙十路二段45巷1之1號,"24.153147,120.6861266",1,293,第二分局,
公寓,BC00371,新北里,臺中市北區三民路三段208巷11號,"24.1534919,120.6835137",1,20,第二分局,
公寓,BC00372,新北里,臺中市北區三民路三段208巷13號,"24.1534919,120.6835137",1,20,第二分局,
公寓,BC00373,新北里,臺中市北區三民路三段208巷15號,"24.1534919,120.6835137",1,20,第二分局,
公寓,BC00374,新北里,臺中市北區三民路三段208巷17號,"24.1534919,120.6835137",1,20,第二分局,
公寓,BC00391,新北里,臺中市北區錦南街23之1號,"24.1535212,120.6867048",1,20,第二分局,
公寓,BC00492,新北里,臺中市北區三民路三段134巷5弄15號,"24.1508989,120.6832218",1,40,第二分局,
公寓,BC00502,新北里,臺中市北區三民路三段106巷12號,"24.149337,120.6824345",1,20,第二分局,
公寓,BC00507,新北里,臺中市北區太平路46巷4號,"24.1483739,120.6820281",1,20,第二分局,
公寓,BC00512,新北里,臺中市北區太平路46巷12號,"24.1486364,120.6819316",1,20,第二分局,
公寓,BC00514,新北里,臺中市北區三民路三段106巷14號,"24.1491149,120.676031",1,20,第二分局,
公寓,BC00524,新北里,臺中市北區育才街33號,"24.1494614,120.676025",1,20,第二分局,
公寓,BC00537,新北里,臺中市北區三民路三段120巷6之1號,"24.1500746,120.6759044",1,20,第二分局,
公寓,BC00561,新北里,臺中市北區三民路三段106巷7號,"24.1491088,120.6759891",1,20,第二分局,
大樓,BC00147,新北里,臺中市北區雙十路二段1巷2號,"24.1517003,120.6782736",1,50,第二分局,
大樓,BC00148,新北里,臺中市北區雙十路二段1巷1號,"24.1515076,120.6857724",1,50,第二分局,
大樓,BC00156,新北里,臺中市北區雙十路二段1巷4號,"24.151771,120.6853727",1,50,第二分局,
大樓,BC00157,新北里,臺中市北區雙十路二段1巷3號,"24.1517278,120.6854777",1,50,第二分局,
大樓,BC00158,新北里,臺中市北區育才北路5號,"24.1521409,120.6855973",1,50,第二分局,
大樓,BC00159,新北里,臺中市北區育才北路7號,"24.1521409,120.6855973",1,50,第二分局,
大樓,BC00160,新北里,臺中市北區育才北路9號,"24.151844,120.6855132",1,50,第二分局,
大樓,BC00161,新北里,臺中市北區育才北路11號,"24.1521409,120.6855973",1,50,第二分局,
大樓,BC00162,新北里,臺中市北區育才北路13號,"24.1521409,120.6855973",1,50,第二分局,
大樓,BC00163,新北里,臺中市北區育才北路15號,"24.1521409,120.6855973",1,50,第二分局,
大樓,BC00193,新北里,臺中市北區雙十路一段115巷15號,"24.1480545,120.6844247",1,50,第二分局,
大樓,BC00283,新北里,臺中市北區育才北路3巷1號,"24.1517211,120.6858614",1,150,第二分局,
大樓,BC00789,新北里,臺中市北區雙十路二段1巷7號,"24.1517326,120.6852376",1,50,第二分局,
大樓,BC00790,新北里,臺中市北區雙十路二段21巷12之2號,"24.1523785,120.6864871",1,50,第二分局,
大樓,BC00806,新北里,臺中市北區育才街3巷3號,"24.1487486,120.6842109",1,100,第二分局,
大樓,BC00808,新北里,臺中市北區尊賢街26號,"24.1484868,120.6840251",1,50,第二分局,
大樓,BC00811,新北里,臺中市北區雙十路一段117號,"24.1481658,120.6844807",1,100,第二分局,
大樓,BC00877,新北里,臺中市北區一中街148之38號,"24.1538525,120.6848105",1,7130.666667,第二分局,
大樓,BA00062,頂厝里,臺中市北區育德路一段629號,"24.1575272,120.673234",2,664,第二分局,
大樓,BA00064,頂厝里,臺中市北區育德路一段579號,"24.1575272,120.673234",2,605,第二分局,
大樓,BA01045,頂厝里,臺中市北區北興街3221號,"24.1639062,120.683549",2,909,第二分局,
大樓,BA00490,頂厝里,臺中市北區育德路一段494號,"24.1575272,120.673234",1,522,第二分局,
大樓,BA00492,頂厝里,臺中市北區育德路367號,"24.1572067,120.666983",2,666,第二分局,
大樓,BA00754,頂厝里,臺中市北區北興街322號,"24.1640563,120.6798184",2,909,第二分局,
大樓,BA00775,頂厝里,臺中市北區永興街298之1號,"24.1631325,120.6801758",1,277,第二分局,
大樓,BA01072,頂厝里,臺中市北區育德路150之2號,"24.1575272,120.673234",1,161,第二分局,
大樓,BE00105,頂厝里,臺中市北區進化北路257之3號,"24.1628817,120.681871",1,1500.253333,第二分局,
大樓,BE00106,頂厝里,臺中市北區崇德路一段107號,"24.1599477,120.6826667",1,2164.106667,第二分局,
大樓,BE00107,建興里,臺中市北區育德路一段149號,"24.1569147,120.6873101",1,56,第二分局,
大樓,BE00108,建興里,臺中市北區育德路一段151號,"24.1575272,120.673234",1,56,第二分局,
大樓,BE00109,建興里,臺中市北區育德路一段133巷8號,"24.1575272,120.673234",2,213,第二分局,
大樓,BA01063,建興里,臺中市北區衛道路127巷23號之1,"24.1620172,120.682353",1,109,第二分局,
大樓,BA00262,建興里,臺中市北區漢口路三段12018號,"24.1668428,120.6670589",1,146,第二分局,
大樓,BA00268,建興里,臺中市北區北平路二段11039號,"24.1714569,120.6736959",1,173,第二分局,
公寓,BE00110,建興里,臺中市北區天津一7號,"24.1701979,120.6708143",1,42,第二分局,
公寓,BE00111,建興里,臺中市北區山西路一段13巷16弄15號,"24.1642338,120.6730026",1,28,第二分局,
公寓,BE00112,建興里,臺中市北區山西路一段13巷16弄11號,"24.1642338,120.6730026",1,26,第二分局,
公寓,BA00369,建興里,臺中市北區北平路二段100巷6號,"24.1713815,120.6732778",1,28,第二分局,
公寓,BA00445,建興里,臺中市北區漢口路三段55巷10弄18號,"24.1673493,120.6653175",1,26,第二分局,
公寓,BA00446,建興里,臺中市北區漢口路三段55巷10弄20號,"24.1673493,120.6653175",1,28,第二分局,
公寓,BA00577,建興里,臺中市北區山西路二段200巷28號,"24.172377,120.6739234",1,28,第二分局,
大樓,BA01078,建興里,臺中市北區青島路171號,"24.1678354,120.6878637",1,1600,第二分局,
大樓,BC00125,建德里,臺中市北區天祥街226巷6之1號,"24.1598675,120.6998703",1,672,第二分局,
大樓,BC00419,建德里,臺中市北區國泰街84巷6號,"24.160267,120.69413",1,266,第二分局,
大樓,BC00006,建德里,臺中市北區國強街24巷1號,"24.1563853,120.6954162",1,416,第二分局,
大樓,BC00276,建德里,臺中市北區興進路76巷2之22號,"24.1559582,120.6949657",1,333,第二分局,
大樓,BC00121,建德里,臺中市北區國豐街36之1號,"24.1568905,120.6938762",1,306,第二分局,
大樓,BC00741,建德里,臺中市北區國豐街36之1號,"24.1568905,120.6938762",1,185,第二分局,
公寓,BC00766,建成里,臺中市北區東光路408巷4號,"24.1589033,120.6974091",1,44,第二分局,
大樓,BC00165,建成里,臺中市北區東光二街13之3號,"24.1527498,120.6974544",1,280,第二分局,
大樓,BC00428,建成里,臺中市北區 東光三街26巷1之17號,"24.1531724,120.697459",1,600,第二分局,
大樓,BC00431,建成里,臺中市北區東光一街7之1號,"24.1524169,120.6972083",1,500,第二分局,
大樓,BC00434,建成里,臺中市北區東光一街28號,"24.1521229,120.6970701",1,60,第二分局,
公寓,BC00597,建成里,臺中市北區東光一街19號,"24.1522773,120.6975594",1,30,第二分局,
公寓,BC00598,建成里,臺中市北區東光一街18號,"24.1520827,120.6969039",1,30,第二分局,
公寓,BC00599,建成里,臺中市北區東光一街16號,"24.1521253,120.6968155",1,30,第二分局,
公寓,BC00600,建成里,臺中市北區東光一街15號,"24.1522608,120.6973796",1,30,第二分局,
大樓,BC00601,建成里,臺中市北區東光二街22巷2號,"24.1519763,120.6971345",1,50,第二分局,
大樓,BC00602,建成里,臺中市北區東光二街22巷1號,"24.1519763,120.6971345",1,50,第二分局,
大樓,BA01079,梅川里,臺中市北區漢口路四段345巷18號,"24.1670854,120.6771179",1,1389,第二分局,
大樓,BA01053,崇德里,臺中市北區崇德路一段462號,"24.1635376,120.6829817",2,1393,第二分局,
大樓,BD00039,健行里,臺中市北區民權路586巷1-17號,"24.1512578,120.6683",1,236,第二分局,
大樓,BD00063,健行里,臺中市北區華興街55-57號,"24.1600139,120.6667943",2,536,第二分局,
大樓,BD00064,健行里,臺中市北區華興街4710號,"24.1610203,120.6670219",2,549,第二分局,
大樓,BD00065,健行里,臺中市北區華興街49-53號,"24.159863,120.6669377",3,536,第二分局,
公寓,BD00230,健行里,臺中市北區西屯路一段3519號,"24.1607318,120.6626993",1,26,第二分局,
公寓,BE00113,健行里,臺中市北區中清路一段337號,"24.161678,120.67487",1,26,第二分局,
公寓,BD00334,健行里,臺中市北區西屯路一段361之1號,"24.1610557,120.66254",1,28,第二分局,
公寓,BD00355,健行里,臺中市北區西屯路一段492巷65號,"24.1623436,120.6619879",1,28,第二分局,
公寓,BD00473,健行里,臺中市北區西屯路一段315巷14號,"24.1595369,120.6634563",1,28,第二分局,
公寓,BD00475,健行里,臺中市北區華興街街145巷8號,"24.1624033,120.6665752",1,28,第二分局,
公寓,BD00477,健行里,臺中市北區華興街街145巷14號,"24.1625009,120.6663153",1,28,第二分局,
公寓,BD00484,健行里,臺中市北區華興街149號,"24.1624469,120.6668752",1,26,第二分局,
公寓,BD00515,健行里,臺中市北區健行路730巷56號,"24.1593643,120.6684352",1,28,第二分局,
公寓,BD00516,健行里,臺中市北區西屯路一段492巷82號,"24.1557545,120.6666212",1,28,第二分局,
大樓,BD00648,健行里,臺中市北區忠明路5025號,"24.1627074,120.6713625",1,3122,第二分局,
大樓,BE00114,健行里,臺中市北區民權路5861之1號,"24.1512578,120.6683",1,236,第二分局,
大樓,BD00729,健行里,臺中市北區健行路906巷2號,"24.159611,120.6653043",1,229,第二分局,
大樓,BE00115,健行里,臺中市北區健行路666號,"24.1594189,120.6714455",1,178,第二分局,
公寓,BC00463,金華里,臺中市北區三民路三段366之3號,"24.1581638,120.6883224",1,20,第二分局,
大樓,BC00839,金華里,臺中市北區雙十路二段95號,"24.1557878,120.6876642",1,80,第二分局,
大樓,BC00102,金華里,臺中市北區進化路351巷6號,"24.1539934,120.6918149",1,160,第二分局,
大樓,BE00116,金華里,臺中市北區進德北路156之1號,"24.154695,120.6909163",1,869.3333333,第二分局,
公寓,BA00730,邱厝里,臺中市北區健行路425巷12號,"24.1584933,120.6791841",1,40,第二分局,
大樓,BE00117,邱厝里,臺中市北區育德路一段911號,"24.1571262,120.6776543",1,100,第二分局,
公寓,BE00118,邱厝里,臺中市北區育德路一段69號,"24.1570883,120.6748735",1,49,第二分局,
公寓,BE00119,邱厝里,臺中市北區育德路一段71號,"24.1570883,120.6748735",1,49,第二分局,
公寓,BE00120,邱厝里,臺中市北區育德路一段67號,"24.1570883,120.6748735",1,49,第二分局,
公寓,BE00121,邱厝里,臺中市北區育德路一段65號,"24.1570883,120.6748735",1,49,第二分局,
大樓,BE00122,邱厝里,臺中市北區育德路一段63號,"24.1570883,120.6748735",1,129,第二分局,
大樓,BE00123,邱厝里,臺中市北區育德路一段61號,"24.1570883,120.6748735",1,129,第二分局,
大樓,BA01057,邱厝里,臺中市北區育德路1號,"24.1571781,120.6783071",4,2578,第二分局,
大樓,BE00124,邱厝里,臺中市北區大德街45號,"24.1569309,120.6766516",1,2490,第二分局,
大樓,BA01098,邱厝里,臺中市北區大德街49號6樓之2,"24.1570721,120.6766489",1,2491,第二分局,
大樓,BA01103,邱厝里,臺中市北區健行路359號,"24.1588792,120.6810245",1,364,第二分局,
大樓,BA01109,邱厝里,臺中市北區中清路一段167號,"24.1567562,120.6742613",1,1198,第二分局,
大樓,BD00006,明德里,臺中市北區太原路一段448號,"24.1648102,120.6651915",1,637,第二分局,
大樓,BD00014,明德里,臺中市北區忠明七街13號,"24.1643512,120.6671379",1,168,第二分局,
大樓,BD00691,明德里,臺中市北區太原路5號,"24.165554,120.6832923",1,145,第二分局,
大樓,BD00520,明德里,臺中市北區漢口路三段52巷巷34弄10號,"24.1668176,120.665385",1,131.84,第二分局,
公寓,BD00504,明德里,臺中市北區漢口路三段55巷10弄25號,"24.1673444,120.6653175",1,26,第二分局,
公寓,BD00510,明德里,臺中市北區漢口路三段88巷18號,"24.1665819,120.6671671",1,26,第二分局,
公寓,BD00511,明德里,臺中市北區漢口路三段88巷16號,"24.1665819,120.6671671",1,28,第二分局,
公寓,BD00512,明德里,臺中市北區漢口路三段88巷14號,"24.1665819,120.6671671",1,26,第二分局,
公寓,BD00513,明德里,臺中市北區漢口路三段52巷34弄16號,"24.1668176,120.665385",1,28,第二分局,
公寓,BD00521,明德里,臺中市北區漢口路三段52巷26號,"24.1668176,120.665385",1,26,第二分局,
公寓,BD00522,明德里,臺中市北區漢口路三段52巷24號,"24.1668176,120.665385",1,26,第二分局,
